Anlageschl;Einsatz-ID;Projektnummer;DSO Schl¸ssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entsch‰digungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E20793014000000000000020867680001;SHN201410003757;13524;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014000000000000020867680002;SHN201410003757;13524;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014000000000000020978850002;SHN201410003757;16482;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014000000000000020978850003;SHN201410003757;16482;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301S120000000000025072700001;SHN201410003757;34906;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793016000000000000021339950001;SHN201500003757;22482;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E2079301EA01000000000061167500002;SHN201500003757;26767;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793014000000000000021028280001;SHN201500003757;13041;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793014000000000000020852250001;SHN201500003757;15440;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793010S12000000000002230600001;SHN201500003757;22345;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793016000000000000020634050003;SHN201500003757;11751;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793014000000000000021085200001;SHN201500003757;19382;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
E20793014000000000000021364980001;SHN201500003757;22481;;Schleswig-Holstein Netz;04.10.2014;14:50:53;04.10.2014;18:00:39;000;EEG;Netzengpass;Lindewitt.110/20.Trafo;Schleswig-Holstein Netz
