Anlageschl;Einsatz-ID;Projektnummer;DSO Schl¸ssel 2;Netzbetreiber (ILN-Nummer);Datum Regelung ab;Uhrzeit Regelung ab;Datum Regelung bis;Uhrzeit Regelung bis;Regelstufe Einspeisermanagemen;Entsch‰digungspflichtig;Ursache;Ort;Anforderer (ILN-Nummer)
E20793014000000000000021295170001;SHN201500004207;16666;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014000000000000021295170002;SHN201500004207;16666;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014000000000000021334480001;SHN201500004207;20890;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014000000000000021358490001;SHN201500004207;23093;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014000000000000021364980001;SHN201500004207;22481;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014S12000000000001985910001;SHN201500004207;27598;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014S12000000000002281080001;SHN201500004207;28565;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793014S12000000000002308450001;SHN201500004207;36020;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793016000000000000002427000001;SHN201500004207;1687;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793016000000000000020284290001;SHN201500004207;8723;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793016000000000000020634050001;SHN201500004207;11751;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E20793016000000000000020634050002;SHN201500004207;11751;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;TenneT
E2079301S120000000000025072700001;SHN201500004207;34906;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E2079301S120000000000035497800001;SHN201500004207;37505;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E2079301S120000000000021164900001;SHN201410004207;11751;;Schleswig-Holstein Netz;02.11.2014;11:19:22;02.11.2014;16:13:35;000;EEG;Netzengpass;Lindewitt.110/20.Trafo 121;Schleswig-Holstein Netz
E2079301EA01000000000070608000005;SHN201500004208;44732;;Schleswig-Holstein Netz;02.11.2014;11:19:24;02.11.2014;11:59:08;060;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
E2079301EA01000000000044652700004;SHN201500004208;32380;;Schleswig-Holstein Netz;02.11.2014;11:19:24;02.11.2014;11:59:08;060;EEG;Netzengpass;Soholm.110/20.Trafo;Schleswig-Holstein Netz
